Step number,Repeats,Step name,Elapsed Time  (s),DC Working Electrode (V),DC Current (A),Frequency (Hz),|Z| (Ohms),Phase (deg),Z' (Ohms),-Z" (Ohms),THD (%),Amplitude (A),Amplitude (V),No of Cycles,Duration of Each Frequency (s),IR Compensated DC Working Electrode (V)
2,1,Potentiostatic EIS,0,3.55603075027466,-0.0112125115469098,1000000,1.98156686362245,87.1004512289491,0.100237707878669,-1.979029973731,1.01116810215362,0.00507312200892568,0.0100523097406344,1430,0.00143,3.55603075027466
2,1,Potentiostatic EIS,0.248701800592244,3.55595183372498,-0.012611130438745,794328.1875,1.58986574736171,86.5726487032503,0.0950467797886649,-1.58702211839843,1.22542649592847,0.00629641880667402,0.0100104442247831,1445,0.00181914732819424,3.55595183372498
2,1,Potentiostatic EIS,0.507725340314209,3.55588183403015,-0.0137753836810589,630957.375,1.26807367178851,86.1104094457436,0.0860185489657236,-1.26515281540098,1.17869581334507,0.00787853698359146,0.00999058986900472,1355,0.00214753017190741,3.55588183403015
2,1,Potentiostatic EIS,0.781741050072014,3.55583052635193,-0.0151384327560663,501187.25,1.01823379712465,86.1759770759474,0.0679083048753174,-1.01596679460298,1.26682502280719,0.00981043677316517,0.0099893161759446,1385,0.00276343821595621,3.55583052635193
2,1,Potentiostatic EIS,1.07062016054988,3.55576539039612,-0.016293017193675,398107.15625,0.814884050077626,85.1385224402317,0.0690589929988888,-0.811952505111533,1.3014280425995,0.0119068961606428,0.00970256035642779,1400,0.00351664113046197,3.55576539039612
2,1,Potentiostatic EIS,1.40112797077745,3.5556827545166,-0.0175946690142155,316227.6875,0.65019164197732,84.7557477390124,0.0594286357521185,-0.647470005907459,1.44760140871068,0.0153168126332904,0.00995890961553494,1370,0.00433232147011163,3.5556827545166
2,1,Potentiostatic EIS,1.76444078050554,3.55559988021851,-0.0188808783888817,251188.59375,0.523810567080634,83.7472882248116,0.0570502636782777,-0.52069451466246,1.46724996486179,0.019037292174028,0.00997196223446295,1340,0.00533463713457331,3.55559988021851
2,1,Potentiostatic EIS,2.34223429020494,3.55551280975342,-0.0198968328535557,199526.171875,0.418961262471988,83.4186405851069,0.048018809769334,-0.416200352427119,1.78686626340437,0.0236809258148385,0.00992142139781574,1355,0.00679108904494437,3.55551280975342
2,1,Potentiostatic EIS,2.80647863075137,3.55543413162231,-0.0215094972401857,158489.3125,0.337032088567722,82.1990888208636,0.0457458130796753,-0.333913086461134,1.84961081601524,0.0289808089284889,0.00976781869007086,1360,0.00858102025018248,3.55543413162231
2,1,Potentiostatic EIS,3.38423041068017,3.55532417297363,-0.0234574891626835,125892.5546875,0.27256970546672,81.3003558836853,0.0412274436790891,-0.269433743666048,1.76419763416738,0.0367006341370121,0.0100034824935232,1370,0.0108822956480684,3.55532417297363
2,1,Potentiostatic EIS,4.06038589030504,3.5552098274231,-0.0255393583327532,100000.015625,0.218656120123697,79.9687196040079,0.0380867919778998,-0.215313481102277,2.00455062984063,0.045584524554674,0.00996740109400533,1370,0.0136999978593753,3.5552098274231
