Step number,Repeats,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (A),Current Density (A/m^2),Cumulative Charge (mAh),Counter Electrode (V)
1,1,Open Circuit Potential,5.00034645013511,3.49765729904175,3.49765729904175,0,0,0,0.000198818743228912
1,1,Open Circuit Potential,10.0003463500179,3.49769568443298,3.49769568443298,0,0,0,0.000199533998966217
1,1,Open Circuit Potential,15.0003465400077,3.49767422676086,3.49767422676086,0,0,0,0.00019381195306778
1,1,Open Circuit Potential,20.0003464501351,3.4976532459259,3.4976532459259,0,0,0,0.000196196138858795
1,1,Open Circuit Potential,25.0003463600297,3.49765086174011,3.49765086174011,0,0,0,0.000196434557437897
1,1,Open Circuit Potential,30.0003463500179,3.49764823913574,3.49764823913574,0,0,0,0.000199533998966217
1,1,Open Circuit Potential,35.0003465400077,3.49766945838928,3.49766945838928,0,0,0,0.000212408602237701
1,1,Open Circuit Potential,40.0003464401234,3.49766302108765,3.49766302108765,0,0,0,0.000226236879825592
1,1,Open Circuit Potential,45.0003463600297,3.49764561653137,3.49764561653137,0,0,0,0.00022432953119278
1,1,Open Circuit Potential,50.0003463800531,3.49764704704285,3.49764704704285,0,0,0,0.000218845903873444
1,1,Open Circuit Potential,55.0003464100882,3.49762296676636,3.49762296676636,0,0,0,0.00019548088312149
1,1,Open Circuit Potential,59.9999563500751,3.49766182899475,3.49766182899475,0,0,0,0.000217892229557037
