Step number,Repeats,Step name,Elapsed Time  (s),DC Working Electrode (V),DC Current (A),Frequency (Hz),|Z| (Ohms),Phase (deg),Z' (Ohms),-Z" (Ohms),THD (%),Amplitude (A),Amplitude (V),No of Cycles,Duration of Each Frequency (s),IR Compensated DC Working Electrode (V)
2,1,Potentiostatic EIS,60.3015416497365,3.48749494552612,-0.0113981397822499,1000000,3.08245909464573,88.1569793271465,0.0991356821986597,-3.08086451936452,0.993814604014802,0.00322902553866116,0.00995352109509235,1430,0.00143,3.48749494552612
2,1,Potentiostatic EIS,60.5321214799769,3.48744478225708,-0.0121491914615035,891250.9375,2.7561694986557,87.6991429269999,0.110651218116952,-2.75394746014684,0.919499221089965,0.00356807023125781,0.00983437375189924,1310,0.00146984417618074,3.48744478225708
2,1,Potentiostatic EIS,60.7610123599879,3.48743777275085,-0.012344610504806,794328.1875,2.46943924626895,87.5909091353566,0.10380085265238,-2.46725668992952,1.19122323128775,0.0040089182933016,0.0098998565924655,1445,0.00181914732819424,3.48743777275085
2,1,Potentiostatic EIS,60.9909553895704,3.48741998672485,-0.0128384400159121,707945.6875,2.21196521895961,87.7119184744576,0.0883103724877955,-2.21020166681643,0.992325455672387,0.00447055122292871,0.00988885252911018,1340,0.00189280056882895,3.48741998672485
2,1,Potentiostatic EIS,61.227065869607,3.48738460540771,-0.0137698229402304,630957.25,1.97676418509237,87.1750113772339,0.0974255704644081,-1.97436189734395,0.991808761542245,0.00494133240071667,0.00976800784910632,1355,0.00214753059735822,3.48738460540771
2,1,Potentiostatic EIS,61.489900319837,3.48736157417297,-0.0143250282853842,562341.25,1.76445586512025,87.1490370078816,0.087760788937202,-1.76227198351513,0.947048277363969,0.00565606210034745,0.00997986754912472,1360,0.00241846032102393,3.48736157417297
2,1,Potentiostatic EIS,61.7618136196397,3.48735728263855,-0.0142413426190615,501187.15625,1.57825739017156,87.2024519069307,0.0770300510423968,-1.57637646546362,1.08859883019343,0.00630875320144507,0.00995683097235478,1385,0.00276343873287355,3.48735728263855
2,1,Potentiostatic EIS,62.0328301298432,3.48734469413757,-0.0144973712041974,446683.53125,1.40787402488111,86.6819346941159,0.0814860595863228,-1.40551388894882,0.971589477410637,0.00706197998304038,0.00994237825849626,1360,0.00304466116356288,3.48734469413757
2,1,Potentiostatic EIS,62.3160529797897,3.4873016834259,-0.0154467958956957,398107.0625,1.26265504659365,86.3092588602702,0.0812784269013929,-1.26003634233654,1.01420741430202,0.00787952067141729,0.0099491112489126,1400,0.00351664195859374,3.4873016834259
2,1,Potentiostatic EIS,62.6047069896013,3.48728423118591,-0.0161575820297003,354813.3125,1.12630121142728,86.1364433754351,0.0758909561393547,-1.12374151015205,1.01356947315651,0.00884440879035079,0.00996156683521085,1365,0.00384709353316612,3.48728423118591
2,1,Potentiostatic EIS,62.9109369297512,3.48725214004517,-0.0165364984422922,316227.6875,1.00711058513661,85.9484573813879,0.0711562326072411,-1.00459370954399,1.12430072246532,0.00987334675020584,0.00994355975577848,1370,0.00433232147011163,3.48725214004517
2,1,Potentiostatic EIS,63.3696500095539,3.48720760345459,-0.0175077565014362,281838.25,0.902977492605478,85.4148623067734,0.072184346727094,-0.900087646976482,1.15260700224886,0.0110352193814264,0.00996459277056016,1370,0.0048609441763139,3.48720760345459
2,1,Potentiostatic EIS,63.7051956895739,3.48719911575317,-0.0176593855023384,251188.59375,0.808544597728808,85.0936600646435,0.0691525320367465,-0.805581959721881,1.10235015083941,0.0122671225501721,0.00991859024178033,1340,0.00533463713457331,3.48719911575317
2,1,Potentiostatic EIS,64.059503509663,3.48717861175537,-0.0182707577943802,223872.0625,0.72317645614612,85.0589081666466,0.062288249637168,-0.720488973323811,1.19700813240296,0.0135057150021944,0.0097671389773649,1360,0.00607489824685025,3.48717861175537
2,1,Potentiostatic EIS,64.4730805195868,3.48714547157288,-0.0192330814898014,199526.171875,0.645689838796676,84.8633005148007,0.057810076747007,-0.643096697979225,1.23066569056116,0.015356225596529,0.00991539926095173,1355,0.00679108904494437,3.48714547157288
2,1,Potentiostatic EIS,64.9089044197462,3.48712792396545,-0.0198848277330399,177827.84375,0.580763405816548,84.4146522325371,0.0565247657293739,-0.578006128336782,1.35671549872363,0.0171504484641485,0.0099603344545501,1355,0.00761972912355015,3.48712792396545
2,1,Potentiostatic EIS,65.3713972796686,3.48707976341248,-0.0209811743348837,158489.21875,0.520760593724658,83.9968868179198,0.0544624451767517,-0.517904854236594,1.36924197040986,0.0191449196248869,0.00996993579481824,1360,0.00858102532605234,3.48707976341248
2,1,Potentiostatic EIS,66.0753151997924,3.48705625534058,-0.0209457039833069,141253.6875,0.466740418733375,83.8877857950605,0.0496966714878991,-0.464087124710899,1.31963279714885,0.0213706605252255,0.0099745615584889,1355,0.00959266992587362,3.48705625534058
2,1,Potentiostatic EIS,66.6119367699139,3.48700294494629,-0.0226677615195513,125892.4609375,0.419324327103566,83.2898487432776,0.0489966630738285,-0.416451939974456,1.43668323185004,0.0237654405406449,0.00996545281845739,1370,0.0108823037519311,3.48700294494629
